Sec,RPM
599.4,3152.5
600,3152.4
600.6,1742
601.8,0
602.4,0
603,0
603.6,0
604.2,0
604.8,0
606,3139.4
606.6,3139.4
607.8,0
609,0
609.6,0
610.2,0
610.8,0
611.4,0
612,0
613.8,3
615,2085.6
615.6,987.1
616.8,508.5
617.4,3155.9
618,2546.9
618.6,2546.9
619.2,0
619.8,0
620.4,0
621,0
621.6,0
622.2,0
622.8,0
623.4,0
624,0
624.6,0
625.2,0
625.8,921.6
626.4,921.6
627,3181.2
628.2,0
628.8,0
629.4,0
630,0
630.6,889.5
631.2,889.5
631.8,1722.7
632.4,3152.5
633,717.3
633.6,717.3
634.2,3126.8
634.8,2444.5
635.4,968
636,968
636.6,2704.7
637.2,0
638.4,0
639,0
639.6,0
640.2,268.5
640.8,268.5
642.6,882.7
643.2,3153
643.8,2374.6
644.4,2374.6
646.8,80.1
647.4,3103.9
648.6,0
649.2,0
649.8,0
650.4,0
651,0
652.2,2900.6
653.4,1790.7
654,3152.5
654.6,2135.8
655.2,1666.2
655.8,0
656.4,0
657,0
657.6,0
658.2,0
658.8,0
659.4,0
660,0
660.6,0
661.2,0
661.8,0
662.4,2802.4
663,3152.2
663.6,3151.2
664.2,654.3
665.4,3103.1
666,47.9
666.6,94.7
667.2,3128.4
667.8,3128.4
668.4,2629.7
669.6,284.2
670.2,0
670.8,0
671.4,0
672,0
673.2,629.6
673.8,629.6
675,2375.1
675.6,3078.3
676.2,30.5
677.4,2708.6
678,2335.8
678.6,2335.8
679.2,1550
679.8,3151.9
680.4,2919.1
681,2919.1
681.6,0
682.2,0
682.8,0
683.4,0
684,0
684.6,0
685.2,0
685.8,0
686.4,0
687,0
687.6,0
688.2,0
688.8,0
689.4,0
690,0
690.6,0
691.2,0
691.8,0
692.4,0
693,0
693.6,0
694.2,0
694.8,0
695.4,0
696,0
696.6,0
697.2,0
697.8,0
698.4,0
699,0
699.6,0
700.2,0
700.8,0
701.4,0
702,0
702.6,0
703.2,0
703.8,0
704.4,0
705,0
705.6,0
706.2,0
706.8,0
707.4,0
708,0
709.2,3151.1
709.8,3151.1
710.4,1757.7
711,2345.2
711.6,2479.5
713.4,2552.4
714,3041.7
714.6,3041.7
715.2,3061.7
715.8,2432.2
717.6,0
718.8,0
719.4,0
720.6,0
721.2,0
721.8,0
723,0
723.6,0
724.2,0
724.8,0
725.4,0
726,0
726.6,0
727.8,0
728.4,0
729,0
729.6,0
730.2,0
731.4,640
733.2,253.4
733.8,253.4
734.4,354.8
736.2,0
736.8,0
737.4,0
738,0
738.6,0
739.8,2906.4
740.4,3151.4
741,3152.2
741.6,360.7
743.4,3122.9
744,852.8
744.6,1923.3
745.2,3152.3
745.8,1699.8
746.4,2022.7
747,400.3
747.6,53.3
748.2,0
748.8,0
749.4,0
750,0
750.6,0
751.2,0
751.8,0
752.4,0
753,0
753.6,0
754.2,0
754.8,0
755.4,0
756,0
756.6,0
757.2,0
757.8,0
758.4,0
759,90.5
759.6,3131.9
760.2,2502.1
760.8,982.1
761.4,3152.4
762,2245.5
762.6,0
763.2,0
763.8,0
764.4,0
765,474.3
765.6,3155.5
766.2,1762.1
768,3152.3
768.6,2265.4
769.2,2134.3
769.8,427.1
770.4,397.2
771.6,0
772.2,0
773.4,0
774,0
774.6,0
775.8,3113.6
776.4,62.6
777,0
777.6,0
778.2,0
778.8,0
779.4,0
780,0
780.6,0
781.2,0
781.8,0
782.4,0
783,488.5
783.6,2559.1
784.2,1920.3
784.8,0
785.4,0
786,0
786.6,0
787.2,848.5
787.8,3153.3
789,1644
790.2,781
790.8,973.2
793.2,494.8
795,0
795.6,0
796.2,0
797.4,0
798,0
798.6,0
799.8,0
801,349.1
801.6,3154.4
802.2,1688.5
802.8,1688.5
804,0
804.6,0
805.2,0
805.8,0
806.4,0
807,0
807.6,0
808.2,0
808.8,0
809.4,0
810,0
810.6,0
811.2,0
811.8,1750
812.4,3151.6
814.2,1643.6
814.8,3152.1
815.4,2816.6
816,2496.2
816.6,2496.2
817.2,0
817.8,0
818.4,0
819,0
819.6,0
820.2,21.4
820.8,3044
821.4,3044
822,0
822.6,0
823.2,0
823.8,0
825,0
825.6,0
826.2,0
826.8,0
827.4,607.4
828,3050.1
828.6,1737
829.2,2638.2
831,286.5
831.6,286.5
832.8,3152.5
833.4,1669.1
834,793.8
834.6,0
835.2,0
835.8,0
836.4,0
837,0
837.6,0
838.2,0
838.8,0
839.4,0
840,0
840.6,0
841.2,0
841.8,0
842.4,2511.7
843,1833
843.6,2010.5
844.2,2600.6
846.6,2093.7
847.2,3138.2
848.4,657.3
849,1586.2
850.2,3152.2
850.8,2544.6
851.4,765.4
852,0
852.6,0
853.2,0
853.8,0
854.4,0
855,0
855.6,0
856.2,0
857.4,3151.9
858.6,2101.2
859.2,3152.3
859.8,3152.4
860.4,2864.2
861.6,2648.4
862.2,2780.2
862.8,524.5
863.4,0
864.6,0
865.2,0
865.8,0
868.8,527.5
869.4,527.5
870,0
870.6,0
871.2,0
871.8,0
872.4,0
873,0
873.6,0
874.2,0
874.8,0
875.4,0
876,0
876.6,0
877.2,0
877.8,1546.3
878.4,1546.3
880.8,3152.1
881.4,3152.1
883.2,3152.6
883.8,3152.6
885,3123
885.6,2865.9
886.2,2865.9
886.8,424.5
887.4,0
888,0
888.6,0
889.2,0
889.8,0
890.4,919.3
891,3152.7
891.6,1912.3
892.2,279.1
892.8,3117.1
893.4,3152.3
894,3152.3
894.6,600.3
895.2,771.8
895.8,3152.3
896.4,3020.4
897,270.2
898.2,172.8
898.8,0
899.4,0
900,0
900.6,0
901.2,0
901.8,0
902.4,0
903.6,0
904.2,0
904.8,0
905.4,0
906,2741.5
906.6,2925.6
907.2,3065.4
907.8,1732.8
908.4,0
909,0
909.6,0
910.2,0
910.8,0
911.4,0
912,0
912.6,2931.2
913.8,2161.9
914.4,2161.9
915,2966.7
915.6,1672.9
